"TIME","GEO","INDIC_DE","Value"
"1999","Finland","Population on 1 January - total","5 159 646"
"1999","Sweden","Population on 1 January - total","8 854 322"
"1999","United Kingdom","Population on 1 January - total","58 579 685"
"1999","Iceland","Population on 1 January - total","275 712"
"1999","Liechtenstein","Population on 1 January - total","32 015"
"1999","Norway","Population on 1 January - total","4 445 329"
"1999","Switzerland","Population on 1 January - total","7 123 537"
"2000","European Union - 27 countries (from 2020)","Population on 1 January - total","428 473 834"
"2000","European Union - 28 countries (2013-2020)","Population on 1 January - total","487 259 080"
"2000","Belgium","Population on 1 January - total","10 239 085"
"2000","Bulgaria","Population on 1 January - total","8 190 876"
"2000","Czechia","Population on 1 January - total","10 278 098"
"2000","Denmark","Population on 1 January - total","5 330 020"
"2000","Germany including former GDR","Population on 1 January - total","82 163 475"
"2000","Estonia","Population on 1 January - total","1 401 250"
"2000","Ireland","Population on 1 January - total","3 777 565"
"2000","Greece","Population on 1 January - total","10 775 627"
"2000","Spain","Population on 1 January - total","40 470 182"
"2000","France","Population on 1 January - total","60 545 022"
"2000","Croatia","Population on 1 January - total","4 497 735"
"2000","Italy","Population on 1 January - total","56 923 524"
"2000","Cyprus","Population on 1 January - total","690 497"
"2000","Latvia","Population on 1 January - total","2 381 715"
"2000","Lithuania","Population on 1 January - total","3 512 074"
"2000","Luxembourg","Population on 1 January - total","433 600"
"2000","Hungary","Population on 1 January - total","10 221 644"
"2000","Malta","Population on 1 January - total","388 759"
"2000","Netherlands","Population on 1 January - total","15 863 950"
"2000","Austria","Population on 1 January - total","8 002 186"
"2000","Poland","Population on 1 January - total","38 263 303"
"2000","Portugal","Population on 1 January - total","10 249 022"
"2000","Romania","Population on 1 January - total","22 455 485"
"2000","Slovenia","Population on 1 January - total","1 987 755"
"2000","Slovakia","Population on 1 January - total","5 398 657"
"2000","Finland","Population on 1 January - total","5 171 302"
"2000","Sweden","Population on 1 January - total","8 861 426"
"2000","United Kingdom","Population on 1 January - total","58 785 246"
"2000","Iceland","Population on 1 January - total","279 049"
"2000","Liechtenstein","Population on 1 January - total","32 426"
"2000","Norway","Population on 1 January - total","4 478 497"
"2000","Switzerland","Population on 1 January - total","7 164 444"
"2001","European Union - 27 countries (from 2020)","Population on 1 January - total","429 240 746"
"2001","European Union - 28 countries (2013-2020)","Population on 1 January - total","488 240 527"
"2001","Belgium","Population on 1 January - total","10 263 414"
"2001","Bulgaria","Population on 1 January - total","8 149 468"
"2001","Czechia","Population on 1 January - total","10 232 027"
"2001","Denmark","Population on 1 January - total","5 349 212"
"2001","Germany including former GDR","Population on 1 January - total","82 259 540"
"2001","Estonia","Population on 1 January - total","1 392 720"
"2001","Ireland","Population on 1 January - total","3 832 783"
"2001","Greece","Population on 1 January - total","10 835 989"
"2001","Spain","Population on 1 January - total","40 665 545"
"2001","France","Population on 1 January - total","60 979 315"
"2001","Croatia","Population on 1 January - total","4 295 406"
"2001","Italy","Population on 1 January - total","56 960 692"
"2001","Cyprus","Population on 1 January - total","697 549"
"2001","Latvia","Population on 1 January - total","2 353 384"
"2001","Lithuania","Population on 1 January - total","3 486 998"
"2001","Luxembourg","Population on 1 January - total","439 000"
"2001","Hungary","Population on 1 January - total","10 200 298"
"2001","Malta","Population on 1 January - total","391 415"
"2001","Netherlands","Population on 1 January - total","15 987 075"
"2001","Austria","Population on 1 January - total","8 020 946"
"2001","Poland","Population on 1 January - total","38 253 955"
"2001","Portugal","Population on 1 January - total","10 330 774"
"2001","Romania","Population on 1 January - total","22 430 457"
"2001","Slovenia","Population on 1 January - total","1 990 094"
"2001","Slovakia","Population on 1 January - total","5 378 783"
"2001","Finland","Population on 1 January - total","5 181 115"
"2001","Sweden","Population on 1 January - total","8 882 792"
"2001","United Kingdom","Population on 1 January - total","58 999 781"
"2001","Iceland","Population on 1 January - total","283 361"
"2001","Liechtenstein","Population on 1 January - total","32 863"
"2001","Norway","Population on 1 January - total","4 503 436"
"2001","Switzerland","Population on 1 January - total","7 204 055"
"2002","European Union - 27 countries (from 2020)","Population on 1 January - total","429 723 142"
"2002","European Union - 28 countries (2013-2020)","Population on 1 January - total","488 962 706"
"2002","Belgium","Population on 1 January - total","10 309 725"
"2002","Bulgaria","Population on 1 January - total","7 868 815"
"2002","Czechia","Population on 1 January - total","10 201 182"
"2002","Denmark","Population on 1 January - total","5 368 354"
"2002","Germany including former GDR","Population on 1 January - total","82 440 309"
"2002","Estonia","Population on 1 January - total","1 383 510"
"2002","Ireland","Population on 1 January - total","3 899 702"
"2002","Greece","Population on 1 January - total","10 888 274"
"2002","Spain","Population on 1 January - total","41 035 278"
"2002","France","Population on 1 January - total","61 424 036"
"2002","Croatia","Population on 1 January - total","4 305 494"
"2002","Italy","Population on 1 January - total","56 987 507"
"2002","Cyprus","Population on 1 January - total","705 539"
"2002","Latvia","Population on 1 January - total","2 320 956"
"2002","Lithuania","Population on 1 January - total","3 454 637"
"2002","Luxembourg","Population on 1 January - total","444 050"
"2002","Hungary","Population on 1 January - total","10 174 853"
"2002","Malta","Population on 1 January - total","394 641"
"2002","Netherlands","Population on 1 January - total","16 105 285"
"2002","Austria","Population on 1 January - total","8 063 640"
"2002","Poland","Population on 1 January - total","38 242 197"
"2002","Portugal","Population on 1 January - total","10 394 669"
"2002","Romania","Population on 1 January - total","21 833 483"
"2002","Slovenia","Population on 1 January - total","1 994 026"
"2002","Slovakia","Population on 1 January - total","5 378 951"
"2002","Finland","Population on 1 January - total","5 194 901"
"2002","Sweden","Population on 1 January - total","8 909 128"
"2002","United Kingdom","Population on 1 January - total","59 239 564"
"2002","Iceland","Population on 1 January - total","286 575"
"2002","Liechtenstein","Population on 1 January - total","33 525"
"2002","Norway","Population on 1 January - total","4 524 066"
"2002","Switzerland","Population on 1 January - total","7 255 653"
"2003","European Union - 27 countries (from 2020)","Population on 1 January - total","431 190 184"
"2003","European Union - 28 countries (2013-2020)","Population on 1 January - total","490 691 578"
"2003","Belgium","Population on 1 January - total","10 355 844"
"2003","Bulgaria","Population on 1 January - total","7 805 506"
"2003","Czechia","Population on 1 January - total","10 192 649"
"2003","Denmark","Population on 1 January - total","5 383 507"
"2003","Germany including former GDR","Population on 1 January - total","82 536 680"
"2003","Estonia","Population on 1 January - total","1 375 190"
"2003","Ireland","Population on 1 January - total","3 964 191"
"2003","Greece","Population on 1 January - total","10 915 770"
"2003","Spain","Population on 1 January - total","41 827 838"
"2003","France","Population on 1 January - total","61 864 088"
"2003","Croatia","Population on 1 January - total","4 305 384"
"2003","Italy","Population on 1 January - total","57 130 506"
"2003","Cyprus","Population on 1 January - total","713 720"
"2003","Latvia","Population on 1 January - total","2 299 390"
"2003","Lithuania","Population on 1 January - total","3 431 497"
"2003","Luxembourg","Population on 1 January - total","448 300"
"2003","Hungary","Population on 1 January - total","10 142 362"
"2003","Malta","Population on 1 January - total","397 296"
"2003","Netherlands","Population on 1 January - total","16 192 572"
"2003","Austria","Population on 1 January - total","8 100 273"
"2003","Poland","Population on 1 January - total","38 218 531"
"2003","Portugal","Population on 1 January - total","10 444 592"
"2003","Romania","Population on 1 January - total","21 627 509"
"2003","Slovenia","Population on 1 January - total","1 995 033"
"2003","Slovakia","Population on 1 January - total","5 374 873"
"2003","Finland","Population on 1 January - total","5 206 295"
"2003","Sweden","Population on 1 January - total","8 940 788"
"2003","United Kingdom","Population on 1 January - total","59 501 394"
"2003","Iceland","Population on 1 January - total","288 471"
"2003","Liechtenstein","Population on 1 January - total","33 863"
"2003","Norway","Population on 1 January - total","4 552 252"
"2003","Switzerland","Population on 1 January - total","7 313 853"
"2004","European Union - 27 countries (from 2020)","Population on 1 January - total","432 762 039"
"2004","European Union - 28 countries (2013-2020)","Population on 1 January - total","492 555 798"
"2004","Belgium","Population on 1 January - total","10 396 421"
"2004","Bulgaria","Population on 1 January - total","7 745 147"
"2004","Czechia","Population on 1 January - total","10 195 347"
"2004","Denmark","Population on 1 January - total","5 397 640"
"2004","Germany including former GDR","Population on 1 January - total","82 531 671"
"2004","Estonia","Population on 1 January - total","1 366 250"
"2004","Ireland","Population on 1 January - total","4 028 851"
"2004","Greece","Population on 1 January - total","10 940 369"
"2004","Spain","Population on 1 January - total","42 547 451"
"2004","France","Population on 1 January - total","62 292 241"
"2004","Croatia","Population on 1 January - total","4 305 725"
"2004","Italy","Population on 1 January - total","57 495 900"
"2004","Cyprus","Population on 1 January - total","722 893"
"2004","Latvia","Population on 1 January - total","2 276 520"
"2004","Lithuania","Population on 1 January - total","3 398 929"
"2004","Luxembourg","Population on 1 January - total","454 960"
"2004","Hungary","Population on 1 January - total","10 116 742"
"2004","Malta","Population on 1 January - total","399 867"
"2004","Netherlands","Population on 1 January - total","16 258 032"
"2004","Austria","Population on 1 January - total","8 142 573"
"2004","Poland","Population on 1 January - total","38 190 608"
"2004","Portugal","Population on 1 January - total","10 473 050"
"2004","Romania","Population on 1 January - total","21 521 142"
"2004","Slovenia","Population on 1 January - total","1 996 433"
"2004","Slovakia","Population on 1 January - total","5 371 875"
"2004","Finland","Population on 1 January - total","5 219 732"
"2004","Sweden","Population on 1 January - total","8 975 670"
"2004","United Kingdom","Population on 1 January - total","59 793 759"
"2004","Iceland","Population on 1 January - total","290 570"
"2004","Liechtenstein","Population on 1 January - total","34 294"
"2004","Norway","Population on 1 January - total","4 577 457"
"2004","Switzerland","Population on 1 January - total","7 364 148"
"2005","European Union - 27 countries (from 2020)","Population on 1 January - total","434 416 272"
"2005","European Union - 28 countries (2013-2020)","Population on 1 January - total","494 598 322"
"2005","Belgium","Population on 1 January - total","10 445 852"
"2005","Bulgaria","Population on 1 January - total","7 688 573"
"2005","Czechia","Population on 1 January - total","10 198 855"
"2005","Denmark","Population on 1 January - total","5 411 405"
"2005","Germany including former GDR","Population on 1 January - total","82 500 849"
"2005","Estonia","Population on 1 January - total","1 358 850"
"2005","Ireland","Population on 1 January - total","4 111 672"
"2005","Greece","Population on 1 January - total","10 969 912"
"2005","Spain","Population on 1 January - total","43 296 338"
